Rank,Peak,All Time Peak,Actual gross,Adjusted gross,Artist,Tour title,Year(s),Shows,Average gross
4,5,2.0,,402844849,Taylor Swift,Reputation Stadium Tour,2018,53,6522173
6,7,2.0,,381932682,Celine Dion,Taking Chances World Tour,2008–2009,131,2137405
7,7,,,257600000,Pink,Summer Carnival,2023–2024,41,6282927
8,9,,,312258401,Beyoncé,The Formation World Tour,2016,49,5226215
9,10,,,309141878,Taylor Swift,The 1989 World Tour,2015,85,2945882
10,11,,,283202896,Beyoncé,The Mrs. Carter Show World Tour,2013–2014,132,1735606
11,12,14.0,,295301479,Lady Gaga,The Monster Ball Tour,2009–2011,203,1118227
12,13,,,251856802,Katy Perry,Prismatic World Tour,2014–2015,151,1350993
13,14,1.0,,299676265,Cher,Living Proof: The Farewell Tour,2002–2005,325,615385
14,15,2.0,,281617035,Madonna,Confessions Tour,2006,60,3233333
15,16,,,227452347,Pink,The Truth About Love Tour,2013–2014,142,1295775
16,17,,,213568571,Lady Gaga,Born This Way Ball,2012–2013,98,1734694
17,18,,,207046755,Madonna,Rebel Heart Tour,2015–2016,82,2070732
18,19,,,204486106,Adele,Adele Live 2016,2016–2017,121,1385950
19,20,,,185423109,Taylor Swift,The Red Tour,2013–2014,86,1744186
